,name,html_page_link,tags
28,Manufacturing SuiteApps,section_1508932552.html,"[""What's New"", 'Release Notes', 'NetSuite 2022.2 Release Notes', 'SuiteApps (Bundles) Released by NetSuite', 'Manufacturing SuiteApps']"
29,Order Management SuiteApps,section_1508778720.html,"[""What's New"", 'Release Notes', 'NetSuite 2022.2 Release Notes', 'SuiteApps (Bundles) Released by NetSuite', 'Order Management SuiteApps']"
30,Projects SuiteApps,section_1508779004.html,"[""What's New"", 'Release Notes', 'NetSuite 2022.2 Release Notes', 'SuiteApps (Bundles) Released by NetSuite', 'Projects SuiteApps']"
31,Taxation SuiteApps,section_1508778763.html,"[""What's New"", 'Release Notes', 'NetSuite 2022.2 Release Notes', 'SuiteApps (Bundles) Released by NetSuite', 'Taxation SuiteApps']"
32,SuiteApp Distribution,section_N3946132.html,"[""What's New"", 'Release Notes', 'NetSuite 2022.2 Release Notes', 'SuiteApp Distribution']"
33,SuiteCloud SDK,section_1558730192.html,"[""What's New"", 'Release Notes', 'NetSuite 2022.2 Release Notes', 'SuiteCloud SDK']"
34,SuiteScript,section_N3949604.html,"[""What's New"", 'Release Notes', 'NetSuite 2022.2 Release Notes', 'SuiteScript']"
35,SuiteTalk Web Services Integration,section_N3950559.html,"[""What's New"", 'Release Notes', 'NetSuite 2022.2 Release Notes', 'SuiteTalk Web Services Integration']"
36,Taxation,section_4316106593.html,"[""What's New"", 'Release Notes', 'NetSuite 2022.2 Release Notes', 'Taxation']"
37,User Interface,section_N3945807.html,"[""What's New"", 'Release Notes', 'NetSuite 2022.2 Release Notes', 'User Interface']"
38,"SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced Release Notes",chapter_4410490401.html,"[""What's New"", 'Release Notes', 'SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced Release Notes']"
39,Current Release,section_160285387367.html,"[""What's New"", 'Release Notes', 'SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced Release Notes', 'Current Release']"
40,"2022.2 Release of SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced",section_165338310610.html,"[""What's New"", 'Release Notes', 'SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced Release Notes', 'Current Release', '2022.2 Release of SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced']"
41,2022.2.0 Release SC/SCA/SCMA,section_165338276588.html,"[""What's New"", 'Release Notes', 'SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced Release Notes', 'Current Release', '2022.2 Release of SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced', '2022.2.0 Release SC/SCA/SCMA']"
42,Other Related Release Notes,section_163724190541.html,"[""What's New"", 'Release Notes', 'SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced Release Notes', 'Current Release', '2022.2 Release of SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced', 'Other Related Release Notes']"
43,Commerce Themes Release Notes,section_158387080899.html,"[""What's New"", 'Release Notes', 'SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced Release Notes', 'Current Release', 'Commerce Themes Release Notes']"
44,Commerce Extensions Release Notes,section_1528882174.html,"[""What's New"", 'Release Notes', 'SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced Release Notes', 'Current Release', 'Commerce Extensions Release Notes']"
45,Previous Releases,section_160285395548.html,"[""What's New"", 'Release Notes', 'SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced Release Notes', 'Previous Releases']"
46,"2022.1 Release of SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced",section_163723981215.html,"[""What's New"", 'Release Notes', 'SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced Release Notes', 'Previous Releases', '2022.1 Release of SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced']"
47,2022.1.0 Release SC/SCA/SCMA,section_163724000722.html,"[""What's New"", 'Release Notes', 'SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced Release Notes', 'Previous Releases', '2022.1 Release of SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced', '2022.1.0 Release SC/SCA/SCMA']"
48,2022.1.x Minor Releases,section_163724136597.html,"[""What's New"", 'Release Notes', 'SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced Release Notes', 'Previous Releases', '2022.1 Release of SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced', '2022.1.x Minor Releases']"
49,"2021.2 Release of SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced",section_162143242969.html,"[""What's New"", 'Release Notes', 'SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced Release Notes', 'Previous Releases', '2021.2 Release of SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced']"
50,2021.2.0 Release SC/SCA/SCMA,section_162143265201.html,"[""What's New"", 'Release Notes', 'SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced Release Notes', 'Previous Releases', '2021.2 Release of SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced', '2021.2.0 Release SC/SCA/SCMA']"
51,2021.2.x Minor Releases,section_162143327035.html,"[""What's New"", 'Release Notes', 'SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced Release Notes', 'Previous Releases', '2021.2 Release of SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced', '2021.2.x Minor Releases']"
52,"2021.1 Release of SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced",section_160571322153.html,"[""What's New"", 'Release Notes', 'SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced Release Notes', 'Previous Releases', '2021.1 Release of SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced']"
53,2021.1.0 Release SC/SCA/SCMA,section_160571233509.html,"[""What's New"", 'Release Notes', 'SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced Release Notes', 'Previous Releases', '2021.1 Release of SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced', '2021.1.0 Release SC/SCA/SCMA']"
54,2021.1.x Minor Releases,section_160571294776.html,"[""What's New"", 'Release Notes', 'SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced Release Notes', 'Previous Releases', '2021.1 Release of SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced', '2021.1.x Minor Releases']"
55,"2020.2 Release of SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced",section_158894772718.html,"[""What's New"", 'Release Notes', 'SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced Release Notes', 'Previous Releases', '2020.2 Release of SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced']"
56,"2020.2.0 Release of SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced",section_158894785342.html,"[""What's New"", 'Release Notes', 'SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced Release Notes', 'Previous Releases', '2020.2 Release of SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced', '2020.2.0 Release of SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced']"
57,2020.2.x Minor Releases,section_160443612519.html,"[""What's New"", 'Release Notes', 'SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced Release Notes', 'Previous Releases', '2020.2 Release of SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced', '2020.2.x Minor Releases']"
58,2020.1 Release of SuiteCommerce and SuiteCommerce Advanced,section_157530291547.html,"[""What's New"", 'Release Notes', 'SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced Release Notes', 'Previous Releases', '2020.1 Release of SuiteCommerce and SuiteCommerce Advanced']"
59,2020.1.0 Release of SuiteCommerce and SuiteCommerce Advanced,section_157530323192.html,"[""What's New"", 'Release Notes', 'SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced Release Notes', 'Previous Releases', '2020.1 Release of SuiteCommerce and SuiteCommerce Advanced', '2020.1.0 Release of SuiteCommerce and SuiteCommerce Advanced']"
60,2020.1.x Minor Releases,section_160494338383.html,"[""What's New"", 'Release Notes', 'SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced Release Notes', 'Previous Releases', '2020.1 Release of SuiteCommerce and SuiteCommerce Advanced', '2020.1.x Minor Releases']"
61,2019.2 Release of SuiteCommerce and SuiteCommerce Advanced,section_1559335339.html,"[""What's New"", 'Release Notes', 'SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced Release Notes', 'Previous Releases', '2019.2 Release of SuiteCommerce and SuiteCommerce Advanced']"
62,2019.2.0 Release of SuiteCommerce and SuiteCommerce Advanced,section_157185969379.html,"[""What's New"", 'Release Notes', 'SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced Release Notes', 'Previous Releases', '2019.2 Release of SuiteCommerce and SuiteCommerce Advanced', '2019.2.0 Release of SuiteCommerce and SuiteCommerce Advanced']"
63,2019.2.x Minor Releases,subsect_157246506874.html,"[""What's New"", 'Release Notes', 'SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced Release Notes', 'Previous Releases', '2019.2 Release of SuiteCommerce and SuiteCommerce Advanced', '2019.2.x Minor Releases']"
64,2019.1 Release of SuiteCommerce and SuiteCommerce Advanced,section_1545173988.html,"[""What's New"", 'Release Notes', 'SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced Release Notes', 'Previous Releases', '2019.1 Release of SuiteCommerce and SuiteCommerce Advanced']"
65,Commerce Applications,section_1545174531.html,"[""What's New"", 'Release Notes', 'SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced Release Notes', 'Previous Releases', '2019.1 Release of SuiteCommerce and SuiteCommerce Advanced', 'Commerce Applications']"
66,2018.2 Release of SuiteCommerce and SuiteCommerce Advanced,section_1531145217.html,"[""What's New"", 'Release Notes', 'SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced Release Notes', 'Previous Releases', '2018.2 Release of SuiteCommerce and SuiteCommerce Advanced']"
67,Commerce Applications,section_1531145829.html,"[""What's New"", 'Release Notes', 'SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced Release Notes', 'Previous Releases', '2018.2 Release of SuiteCommerce and SuiteCommerce Advanced', 'Commerce Applications']"
68,Aconcagua R2 Release of SuiteCommerce Advanced,section_1528817488.html,"[""What's New"", 'Release Notes', 'SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced Release Notes', 'Previous Releases', 'Aconcagua R2 Release of SuiteCommerce Advanced']"
69,Aconcagua Release of SuiteCommerce and SuiteCommerce Advanced,section_1511976254.html,"[""What's New"", 'Release Notes', 'SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced Release Notes', 'Previous Releases', 'Aconcagua Release of SuiteCommerce and SuiteCommerce Advanced']"
70,Commerce Applications,section_1521905122.html,"[""What's New"", 'Release Notes', 'SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced Release Notes', 'Previous Releases', 'Aconcagua Release of SuiteCommerce and SuiteCommerce Advanced', 'Commerce Applications']"
71,Kilimanjaro Release of SuiteCommerce Advanced,section_1497633679.html,"[""What's New"", 'Release Notes', 'SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced Release Notes', 'Previous Releases', 'Kilimanjaro Release of SuiteCommerce Advanced']"
72,Elbrus Release of SuiteCommerce Advanced,section_1489516760.html,"[""What's New"", 'Release Notes', 'SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced Release Notes', 'Previous Releases', 'Elbrus Release of SuiteCommerce Advanced']"
73,Vinson Release of SuiteCommerce Advanced,section_4716300903.html,"[""What's New"", 'Release Notes', 'SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced Release Notes', 'Previous Releases', 'Vinson Release of SuiteCommerce Advanced']"
74,Mont Blanc Release of SuiteCommerce Advanced,section_4472605271.html,"[""What's New"", 'Release Notes', 'SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced Release Notes', 'Previous Releases', 'Mont Blanc Release of SuiteCommerce Advanced']"
75,Denali R2 Release of SuiteCommerce Advanced,section_4431874390.html,"[""What's New"", 'Release Notes', 'SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced Release Notes', 'Previous Releases', 'Denali R2 Release of SuiteCommerce Advanced']"
76,Denali Release of SuiteCommerce Advanced,chapter_3911872967.html,"[""What's New"", 'Release Notes', 'SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced Release Notes', 'Previous Releases', 'Denali Release of SuiteCommerce Advanced']"
77,Release Notes Prior to SuiteCommerce Advanced Denali,section_4386476459.html,"[""What's New"", 'Release Notes', 'SuiteCommerce, SuiteCommerce MyAccount, and SuiteCommerce Advanced Release Notes', 'Previous Releases', 'Release Notes Prior to SuiteCommerce Advanced Denali']"
78,NetSuite 2022.2 Translated Release Notes,chapter_N3894663.html,"[""What's New"", 'Release Notes', 'NetSuite 2022.2 Translated Release Notes']"
79,Help Center Weekly Updates,chapter_3798389663.html,"[""What's New"", 'Help Center Weekly Updates']"
80,"October 17, 2022",section_1006032606.html,"[""What's New"", 'Help Center Weekly Updates', 'October 17, 2022']"
81,"October 10, 2022",section_0929110831.html,"[""What's New"", 'Help Center Weekly Updates', 'October 10, 2022']"
82,"October 3, 2022",section_0922015445.html,"[""What's New"", 'Help Center Weekly Updates', 'October 3, 2022']"
83,"September 26, 2022",section_0919011654.html,"[""What's New"", 'Help Center Weekly Updates', 'September 26, 2022']"
84,"September 19, 2022",section_0912042432.html,"[""What's New"", 'Help Center Weekly Updates', 'September 19, 2022']"
85,"September 12, 2022",section_0902100500.html,"[""What's New"", 'Help Center Weekly Updates', 'September 12, 2022']"
86,"September 5, 2022",section_0825040242.html,"[""What's New"", 'Help Center Weekly Updates', 'September 5, 2022']"
87,"August 29, 2022",section_0822051559.html,"[""What's New"", 'Help Center Weekly Updates', 'August 29, 2022']"
88,"August 22, 2022",section_163699007449.html,"[""What's New"", 'Help Center Weekly Updates', 'August 22, 2022']"
89,The New Release Process,section_N33684802.html,"[""What's New"", 'The New Release Process']"
90,Release Preview Notifications,bridgehead_4290460668.html,"[""What's New"", 'The New Release Process', 'Release Preview Notifications']"
91,Release Preview Availability,bridgehead_4338780966.html,"[""What's New"", 'The New Release Process', 'Release Preview Availability']"
92,About New Release Resources,bridgehead_4338806257.html,"[""What's New"", 'The New Release Process', 'About New Release Resources']"
93,Getting Support in Release Preview,bridgehead_4290470656.html,"[""What's New"", 'The New Release Process', 'Getting Support in Release Preview']"
94,Release Preview Guide,preface_4019941373.html,"[""What's New"", 'Release Preview Guide']"
95,Overview of Release Preview,section_4471776042.html,"[""What's New"", 'Release Preview Guide', 'Overview of Release Preview']"
96,Preparing for Testing,section_4471778785.html,"[""What's New"", 'Release Preview Guide', 'Preparing for Testing']"
97,Accessing Your Release Preview Account,section_4013011333.html,"[""What's New"", 'Release Preview Guide', 'Preparing for Testing', 'Accessing Your Release Preview Account']"
98,Features Available for Testing,section_4013011669.html,"[""What's New"", 'Release Preview Guide', 'Preparing for Testing', 'Features Available for Testing']"
99,Data That Is Not Copied from Production to Release Preview,section_1549916016.html,"[""What's New"", 'Release Preview Guide', 'Preparing for Testing', 'Data That Is Not Copied from Production to Release Preview']"
100,How to Report Release Preview Issues,section_4013029002.html,"[""What's New"", 'Release Preview Guide', 'Preparing for Testing', 'How to Report Release Preview Issues']"
101,Recommended Test Plan,section_4471780295.html,"[""What's New"", 'Release Preview Guide', 'Recommended Test Plan']"
102,Test Business Workflows,section_4013028718.html,"[""What's New"", 'Release Preview Guide', 'Recommended Test Plan', 'Test Business Workflows']"
103,"Test Custom Reports, Queries, and Forms",section_4471781620.html,"[""What's New"", 'Release Preview Guide', 'Recommended Test Plan', 'Test Custom Reports, Queries, and Forms']"
104,Test Other Customizations,section_4449914968.html,"[""What's New"", 'Release Preview Guide', 'Recommended Test Plan', 'Test Other Customizations']"
105,Test Installed SuiteApps (Bundles),section_4471785065.html,"[""What's New"", 'Release Preview Guide', 'Recommended Test Plan', 'Test Installed SuiteApps (Bundles)']"
106,Test SOAP Web Services Integrations,section_4471782798.html,"[""What's New"", 'Release Preview Guide', 'Recommended Test Plan', 'Test SOAP Web Services Integrations']"
107,Test SuiteAnalytics Connect,section_4471784137.html,"[""What's New"", 'Release Preview Guide', 'Recommended Test Plan', 'Test SuiteAnalytics Connect']"
108,Test SuiteScript,section_4471782204.html,"[""What's New"", 'Release Preview Guide', 'Recommended Test Plan', 'Test SuiteScript']"
109,Test Your Web Store,section_4471783404.html,"[""What's New"", 'Release Preview Guide', 'Recommended Test Plan', 'Test Your Web Store']"
110,Account Administration,set_N125873.html,['Account Administration']
111,Account Administration Overview,article_161460204879.html,"['Account Administration', 'Account Administration Overview']"
112,NetSuite Account Administration,chapter_4577280938.html,"['Account Administration', 'Account Administration Overview', 'NetSuite Account Administration']"
113,Account Administration Overview Summaries,chapter_162020052040.html,"['Account Administration', 'Account Administration Overview', 'Account Administration Overview Summaries']"
114,Guidelines for NetSuite Administrators,chapter_4570423771.html,"['Account Administration', 'Account Administration Overview', 'Guidelines for NetSuite Administrators']"
115,Set Up NetSuite,section_157590966425.html,"['Account Administration', 'Account Administration Overview', 'Guidelines for NetSuite Administrators', 'Set Up NetSuite']"
116,Initial Implementation of NetSuite,section_161460646050.html,"['Account Administration', 'Account Administration Overview', 'Guidelines for NetSuite Administrators', 'Set Up NetSuite', 'Initial Implementation of NetSuite']"
117,Maintain Your NetSuite Account,section_157590952456.html,"['Account Administration', 'Account Administration Overview', 'Guidelines for NetSuite Administrators', 'Maintain Your NetSuite Account']"
118,Help Users and Maintain User Access,section_161460652338.html,"['Account Administration', 'Account Administration Overview', 'Guidelines for NetSuite Administrators', 'Maintain Your NetSuite Account', 'Help Users and Maintain User Access']"
119,Ensure System Health,section_161252399804.html,"['Account Administration', 'Account Administration Overview', 'Guidelines for NetSuite Administrators', 'Maintain Your NetSuite Account', 'Ensure System Health']"
120,Getting Help for Administrators,section_162160010710.html,"['Account Administration', 'Account Administration Overview', 'Guidelines for NetSuite Administrators', 'Getting Help for Administrators']"
121,Customer-Scheduled Maintenance,section_159129486361.html,"['Account Administration', 'Account Administration Overview', 'Guidelines for NetSuite Administrators', 'Customer-Scheduled Maintenance']"
122,Customer-Scheduled Maintenance FAQ,section_159188207648.html,"['Account Administration', 'Account Administration Overview', 'Guidelines for NetSuite Administrators', 'Customer-Scheduled Maintenance', 'Customer-Scheduled Maintenance FAQ']"
123,NetSuite Version Upgrade FAQ,section_164855666031.html,"['Account Administration', 'Account Administration Overview', 'Guidelines for NetSuite Administrators', 'Customer-Scheduled Maintenance', 'NetSuite Version Upgrade FAQ']"
124,Account Move to OCI FAQ,article_158870818166.html,"['Account Administration', 'Account Administration Overview', 'Guidelines for NetSuite Administrators', 'Customer-Scheduled Maintenance', 'Account Move to OCI FAQ']"
125,Oracle Database Update FAQ,chapter_1557517172.html,"['Account Administration', 'Account Administration Overview', 'Guidelines for NetSuite Administrators', 'Customer-Scheduled Maintenance', 'Oracle Database Update FAQ']"
126,Get Ready for Your NetSuite Upgrade,bridgehead_4573922915.html,"['Account Administration', 'Account Administration Overview', 'Guidelines for NetSuite Administrators', 'Get Ready for Your NetSuite Upgrade']"
127,Release Delivery,section_161193621552.html,"['Account Administration', 'Account Administration Overview', 'Guidelines for NetSuite Administrators', 'Get Ready for Your NetSuite Upgrade', 'Release Delivery']"
128,Release Preparation,section_161193628988.html,"['Account Administration', 'Account Administration Overview', 'Guidelines for NetSuite Administrators', 'Get Ready for Your NetSuite Upgrade', 'Release Preparation']"
129,Account Setup,book_N125907.html,"['Account Administration', 'Account Setup']"
130,Centers Overview,chapter_N131898.html,"['Account Administration', 'Account Setup', 'Centers Overview']"
131,NetSuite Standard Centers,section_N132466.html,"['Account Administration', 'Account Setup', 'Centers Overview', 'NetSuite Standard Centers']"
132,The NetSuite Account Center,section_4350949235.html,"['Account Administration', 'Account Setup', 'Centers Overview', 'The NetSuite Account Center']"
133,The Classic Center,section_N136047.html,"['Account Administration', 'Account Setup', 'Centers Overview', 'The Classic Center']"
134,The E-Commerce Management Center,section_N136330.html,"['Account Administration', 'Account Setup', 'Centers Overview', 'The E-Commerce Management Center']"
135,The Support Center,section_N136387.html,"['Account Administration', 'Account Setup', 'Centers Overview', 'The Support Center']"
136,The Sales Center,section_N136610.html,"['Account Administration', 'Account Setup', 'Centers Overview', 'The Sales Center']"
137,Enabling Features,chapter_N232138.html,"['Account Administration', 'Account Setup', 'Enabling Features']"
138,General Company Features,bridgehead_N232470.html,"['Account Administration', 'Account Setup', 'Enabling Features', 'General Company Features']"
139,Accounting Features,bridgehead_N233872.html,"['Account Administration', 'Account Setup', 'Enabling Features', 'Accounting Features']"
140,Tax Features,bridgehead_3740479636.html,"['Account Administration', 'Account Setup', 'Enabling Features', 'Tax Features']"
141,Transaction-Related Features,bridgehead_N234414.html,"['Account Administration', 'Account Setup', 'Enabling Features', 'Transaction-Related Features']"
142,Items and Inventory Features,bridgehead_N235482.html,"['Account Administration', 'Account Setup', 'Enabling Features', 'Items and Inventory Features']"
143,Employee and Payroll Features,bridgehead_N236710.html,"['Account Administration', 'Account Setup', 'Enabling Features', 'Employee and Payroll Features']"
144,CRM and SFA Features,bridgehead_N237239.html,"['Account Administration', 'Account Setup', 'Enabling Features', 'CRM and SFA Features']"
145,Analytics Features,bridgehead_4055111275.html,"['Account Administration', 'Account Setup', 'Enabling Features', 'Analytics Features']"
146,Commerce Features,bridgehead_N238278.html,"['Account Administration', 'Account Setup', 'Enabling Features', 'Commerce Features']"
147,SuiteCloud Features,bridgehead_N239332.html,"['Account Administration', 'Account Setup', 'Enabling Features', 'SuiteCloud Features']"
148,NetSuite Company Settings,chapter_N239909.html,"['Account Administration', 'Account Setup', 'NetSuite Company Settings']"
149,Configuring Company Information,section_N240902.html,"['Account Administration', 'Account Setup', 'NetSuite Company Settings', 'Configuring Company Information']"
150,Enter Basic Company Information,subsect_156710108009.html,"['Account Administration', 'Account Setup', 'NetSuite Company Settings', 'Configuring Company Information', 'Enter Basic Company Information']"
151,Enter Company Address Information,subsect_156710111536.html,"['Account Administration', 'Account Setup', 'NetSuite Company Settings', 'Configuring Company Information', 'Enter Company Address Information']"
152,View Company URLs for Services in This NetSuite Account,subsect_156710067632.html,"['Account Administration', 'Account Setup', 'NetSuite Company Settings', 'Configuring Company Information', 'View Company URLs for Services in This NetSuite Account']"
153,Set Company Preferences,section_N242860.html,"['Account Administration', 'Account Setup', 'NetSuite Company Settings', 'Set Company Preferences']"
154,NetSuite Preference Levels Overview,section_N243257.html,"['Account Administration', 'Account Setup', 'NetSuite Company Settings', 'Set Company Preferences', 'NetSuite Preference Levels Overview']"
155,Setting General Account Preferences,section_N243797.html,"['Account Administration', 'Account Setup', 'NetSuite Company Settings', 'Set Company Preferences', 'Setting General Account Preferences']"
156,Overriding Company Preferences,section_N246888.html,"['Account Administration', 'Account Setup', 'NetSuite Company Settings', 'Set Company Preferences', 'Overriding Company Preferences']"
157,Configuring Multiple Languages,section_N247147.html,"['Account Administration', 'Account Setup', 'NetSuite Company Settings', 'Set Company Preferences', 'Configuring Multiple Languages']"
158,Center Logout Pages,section_1487793004.html,"['Account Administration', 'Account Setup', 'NetSuite Company Settings', 'Set Company Preferences', 'Center Logout Pages']"
